"","w2clsids","schids","ctyids","tchids","w2tchstatus","w2tchsubject","w2tchhr","w2tcha0101","w2tcha0102","w2tcha0103","w2tcha0104","w2tcha0105","w2tcha0106","w2tcha0107","w2tcha0108","w2tcha0109","w2tcha0110","w2tcha02","w2tcha03","w2tcha04","w2tcha05","w2tcha06","w2tcha07","w2tcha08","w2tcha09","w2tcha10","w2tcha11","w2tcha1201","w2tcha1202","w2tcha1203","w2tcha1204","w2tcha1301","w2tcha1302","w2tcha1303","w2tcha1401","w2tcha1402","w2tcha1403","w2tcha1404","w2tcha1501","w2tcha1502","w2tcha1503","w2tcha1504","w2tcha1601","w2tcha1602","w2tcha1603","w2tcha1604","w2tcha1605","w2tcha1606","w2tcha1607","w2tcha1608","w2tcha1701","w2tcha1702","w2tcha1703","w2tcha1704","w2tcha1705","w2tcha1706","w2tcha1707","w2tcha1708","w2tcha1709","w2tcha1710","w2tcha18","w2tcha1901","w2tcha1902","w2tcha1903","w2tcha20a01","w2tcha20b01","w2tcha20c01","w2tcha20a02","w2tcha20b02","w2tcha20c02","w2tcha20a03","w2tcha20b03","w2tcha20c03","w2tcha21","w2tcha2201","w2tcha2202","w2tcha2203","w2tcha2204","w2tcha2205","w2tcha2206","w2tcha2207","w2tcha2301","w2tcha2302","w2tcha2303","w2tcha2304","w2tcha2305","w2tcha2306","w2tcha2307","w2tchb01","w2tchb0201","w2tchb0202","w2tchb0203","w2tchb0204","w2tchb0205","w2tchb0206","w2tchb0207","w2tchb03a01","w2tchb03b01","w2tchb03a02","w2tchb03b02","w2tchb03a03","w2tchb03b03","w2tchb03a04","w2tchb03b04","w2tchb03a05","w2tchb03b05","w2tchb04","w2tchb05","w2tchb06","w2tchb07","w2tchb08a","w2tchb08b","w2tchb0901","w2tchb0902","w2tchb0903","w2tchb10","w2tchb11","w2tchc01","w2tchc02","w2tchc03","w2tchc04","w2tchc05","w2tchc06","w2tchc07","w2tchc08","w2tchc09","w2tchc10a","w2tchc10b","w2tchc11","w2tchc11a","w2tchc12","w2tchc13","w2tchc14","w2tchc15a","w2tchc15b","w2tchc1601","w2tchc1602","w2tchc1603","w2tchc1604","w2tchc1605","w2tchc1701","w2tchc1702","w2tchc1703","w2tchc1704","w2tchc1705","w2tchc1706","w2tchc18","w2tchc19","w2tchc20","w2tchc21","w2tchc22","w2tchc23","w2tchc24","w2tchc25","w2tchc2601","w2tchc2602","w2tchc2603","w2tchc2604","w2tchc27","w2tchc28","w2tchc2901","w2tchc2902","w2tchc2903","w2tchc2904","w2tchc2905","w2tchc2906","w2tchc2907","w2tchc3001","w2tchc3002","w2tchc3003","w2tchc3004","w2tchc3005","w2tchc3006","w2tchc3007","w2tchc3101","w2tchc3102","w2tchc3103","w2tchc3104","w2tchc3105","random_even_placement"
"29",58,15,4,178,1,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,3,4,2,1,15,15,15,50,1,1,1,1,1,3,4,4,3,3,3,2,80,0,10,10,4,4,3,3,3,4,4,4,2,3,3,2,2,3,3,2,2,2,5,3,3,3,4,4,4,4,4,4,NA,NA,NA,4,0,0,0,1,1,1,0,0,0,0,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1975,2,5,2,1,1,18,2,2013,8,1,NA,2,0,1,NA,NA,1,1,1,0,0,0,0,0,1,1,0,2,3,NA,3,3,2,2,2,3,4,3,2,3,3,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,0,1,1
"30",57,15,4,182,1,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,3,4,1,1,20,10,10,40,1,1,1,1,1,4,4,3,3,3,3,3,60,10,15,15,4,5,2,3,3,3,4,3,3,3,3,2,2,3,2,1,3,2,4,2,2,3,4,4,4,3,3,3,2,2,2,1,0,0,1,1,1,0,0,0,0,0,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1981,2,5,1,1,3,14,2,2009,8,1,NA,1,0,2,NA,NA,1,1,1,0,0,0,0,0,1,1,0,3,3,NA,3,3,2,2,3,2,4,2,3,4,4,1,0,0,0,1,1,0,0,0,1,1,1,0,1,1,1,1,0,0,1
"31",58,15,4,182,1,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,3,4,1,1,20,10,10,40,1,1,1,1,1,4,4,3,3,3,3,3,60,10,15,15,4,5,2,3,3,3,4,3,3,3,3,2,2,3,2,1,3,2,4,2,2,3,4,4,4,3,3,3,2,2,2,1,0,0,1,1,1,0,0,0,0,0,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1981,2,5,1,1,3,14,2,2009,8,1,NA,1,0,2,NA,NA,1,1,1,0,0,0,0,0,1,1,0,3,3,NA,3,3,2,2,3,2,4,2,3,4,4,1,0,0,0,1,1,0,0,0,1,1,1,0,1,1,1,1,0,0,1
"32",81,21,6,237,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,3,3,1,1,18,21,10,50,1,0,1,0,1,5,5,5,5,4,1,2,100,0,30,20,5,4,4,4,3,5,5,3,2,3,3,3,3,3,3,3,3,3,4,3,3,3,4,NA,NA,NA,2,NA,NA,NA,4,2,0,0,0,1,1,1,0,0,0,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1984,2,5,1,1,2,9,2,2010,3,1,2005,2,0,2,NA,NA,1,1,1,0,0,0,1,1,1,1,0,2,4,NA,4,3,2,2,3,2,4,4,4,5,4,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,1
"33",82,21,6,239,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,2,2,1,2,14,5,6,50,1,0,1,0,1,4,4,5,4,4,3,3,50,0,20,30,4,4,4,4,4,4,5,3,2,3,3,3,3,3,3,3,3,3,4,3,3,1,4,4,4,3,3,3,2,2,2,1,0,0,0,1,1,1,0,0,0,0,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1972,2,5,2,1,3,24,2,2006,7,1,1991,3,0,2,NA,NA,1,1,1,0,0,0,0,0,1,0,0,3,4,NA,4,2,2,3,3,2,4,4,4,5,4,1,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1
"34",81,21,6,244,1,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,1,2,2,1,17,14,10,56,1,1,1,1,1,3,4,4,4,4,3,3,90,0,10,0,4,4,3,2,4,4,3,2,2,3,3,1,1,2,2,2,2,2,5,3,2,1,4,4,4,4,4,4,4,4,4,4,0,0,1,1,1,0,0,0,0,0,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1983,4,5,1,1,1,10,2,2012,9,1,2005,2,0,2,NA,NA,1,1,1,0,0,0,0,1,1,0,0,1,4,NA,3,2,3,3,3,2,1,2,3,4,4,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,1
"35",82,21,6,248,1,3,1,0,0,1,0,0,0,0,0,0,0,2012,3,4,2,67,14,2,2,NA,1,0,1,0,0,4,4,4,4,4,4,3,80,0,0,0,4,4,4,4,5,5,5,5,2,3,3,2,2,3,3,1,2,2,5,3,2,1,4,4,4,4,4,4,4,4,4,1,0,0,1,1,1,1,0,0,0,0,1,1,1,0,4,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,4,2,1,2,1,30,59,0,0,2,2,2,1968,2,5,1,1,2,29,2,2003,3,1,1986,3,1,2,1986,9,1,1,1,0,0,0,0,1,1,1,0,1,4,4,4,3,3,3,3,2,4,4,4,5,5,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,1
"36",85,22,6,251,1,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,4,4,1,1,14,10,6,50,1,1,1,0,1,5,5,5,2,1,3,1,100,0,0,0,4,4,2,2,3,4,4,2,2,3,3,2,2,2,2,2,2,2,3,3,3,3,4,3,5,4,4,3,3,3,3,4,0,0,1,1,1,1,0,0,0,1,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1985,1,6,1,1,1,9,2,2012,9,2,NA,2,0,2,NA,NA,1,1,0,0,0,0,0,0,1,1,0,2,3,NA,4,2,2,2,3,2,3,2,3,4,3,1,0,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,1
"37",86,22,6,251,1,2,1,0,1,0,0,0,0,0,0,0,0,2012,2,3,1,1,14,10,6,50,1,1,1,0,0,5,5,5,1,2,3,1,100,0,0,0,4,4,2,2,3,4,5,2,2,3,3,2,2,2,2,2,2,2,4,3,3,3,4,3,4,3,3,3,3,3,3,4,0,0,0,1,1,1,0,0,0,1,1,1,0,0,4,1,1,0,0,0,0,0,1,1,2,2,2,2,1,1,NA,NA,4,2,2,2,1,0,28,0,0,3,3,2,1985,1,6,1,1,1,6,2,2012,9,2,NA,2,0,2,2012,9,1,1,0,0,0,0,0,0,1,1,0,2,3,3,4,2,2,2,3,1,3,2,3,4,4,1,0,1,1,0,0,0,1,0,0,1,0,0,1,1,1,1,0,1,1
"38",85,22,6,253,1,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,2,3,2,1,12,14,8,44,1,1,1,1,1,4,4,4,2,1,4,1,100,NA,NA,NA,5,5,5,5,5,5,5,4,2,3,2,2,2,3,2,3,3,2,NA,3,3,3,3,3,3,3,3,3,3,3,3,4,0,0,0,1,1,1,0,0,0,0,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1984,1,6,1,1,3,5,1,2009,12,1,2011,2,0,2,NA,NA,1,1,1,0,0,0,0,0,0,0,1,3,3,NA,3,4,1,1,2,3,4,3,3,3,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
"39",86,22,6,253,1,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,3,3,2,1,12,14,8,44,1,1,1,1,1,4,4,4,2,1,4,1,100,NA,NA,NA,5,5,5,5,5,5,5,4,2,3,2,2,2,3,2,3,3,2,4,3,3,3,3,3,3,3,3,3,3,3,3,4,0,0,0,1,1,1,0,0,0,0,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1984,1,6,1,1,3,5,1,2009,12,1,2012,2,0,2,NA,NA,1,1,1,0,0,0,0,0,0,0,1,3,3,NA,3,4,1,1,2,3,4,3,3,3,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
"40",90,23,6,257,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,2,4,2,2,10,10,5,35,1,1,1,0,1,3,5,5,5,2,4,4,40,0,10,50,5,4,5,4,4,5,5,2,3,3,3,2,3,3,3,1,2,3,5,3,2,2,5,5,5,4,4,5,3,2,5,1,0,0,1,1,1,1,0,0,0,0,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1971,2,5,1,1,2,23,2,2008,3,2,NA,3,0,1,NA,NA,1,1,1,0,0,1,1,1,1,1,0,1,4,NA,4,2,2,2,2,1,4,4,3,4,4,0,0,1,1,0,0,1,1,1,0,1,0,0,0,1,1,1,0,1,1
"41",90,23,6,260,1,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,3,3,2,NA,12,10,10,38,1,0,1,0,0,4,2,4,4,4,2,2,60,0,30,10,4,5,3,4,3,5,5,3,2,3,3,3,2,3,3,2,3,2,5,3,3,3,3,5,5,3,5,5,3,5,5,2,0,0,0,1,1,0,0,0,0,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1978,4,5,1,1,3,18,2,2007,7,1,2007,3,3,2,NA,NA,1,1,1,1,0,0,0,1,1,0,0,3,1,NA,3,4,1,1,2,1,3,3,1,2,3,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1
"42",89,23,6,262,1,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,1,2,2,1,12,15,6,30,1,1,1,0,1,4,4,4,3,3,2,1,50,0,50,0,5,4,4,3,4,5,4,3,2,3,3,2,2,2,2,2,2,2,5,3,3,1,4,4,4,4,4,4,4,4,4,1,0,0,1,1,1,1,0,0,0,1,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1969,2,5,1,1,3,26,2,2001,3,1,2001,3,0,2,NA,NA,1,1,1,0,0,0,0,0,1,1,0,1,3,NA,3,2,2,2,2,3,3,4,3,3,4,1,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,1
"43",90,23,6,263,1,3,1,0,0,1,0,0,0,0,0,0,0,2012,2,4,2,2,8,4,12,36,1,1,1,0,1,3,4,4,4,4,2,2,100,0,20,0,5,4,4,4,3,5,5,3,2,3,3,3,2,2,3,1,1,2,5,1,1,1,5,3,5,4,4,5,3,5,5,2,0,0,0,1,1,1,0,0,0,0,1,1,1,0,4,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,NA,NA,4,2,1,2,5,40,49,0,0,3,3,2,1972,2,5,2,1,3,23,2,1997,7,1,1997,2,0,2,1992,7,1,1,1,1,0,0,0,0,0,0,1,2,2,1,4,4,1,1,3,3,4,5,3,5,4,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,1,1
"44",89,23,6,264,1,3,1,0,0,1,0,0,0,0,0,0,0,2012,1,2,2,0,8,10,5,95,1,1,1,0,1,4,5,5,4,4,3,4,70,0,20,10,5,4,2,1,4,2,2,2,2,3,3,2,3,3,3,1,2,2,5,3,2,2,5,5,5,4,5,5,4,4,4,4,0,0,0,1,1,1,0,0,0,0,1,0,1,0,5,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,NA,NA,5,1,1,1,2,0,35,0,0,5,5,2,1975,2,5,1,1,2,17,2,2012,7,1,NA,3,0,1,2003,9,1,1,1,0,0,1,1,1,1,1,0,1,1,5,3,1,3,3,3,4,5,4,4,5,5,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,1,1,0,1,1
"45",93,24,6,270,1,1,1,1,0,0,0,0,0,0,0,0,0,2012,5,5,2,1,60,10,10,40,1,0,1,0,1,3,5,5,3,3,4,2,100,0,0,0,3,4,4,4,5,5,5,2,2,3,3,2,2,3,3,3,3,2,5,3,2,3,4,4,4,4,4,4,4,4,4,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,5,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,NA,NA,5,2,1,2,4,30,66,0,0,3,3,2,1974,2,5,1,1,3,18,2,2002,3,1,1997,4,0,2,1997,9,1,1,1,0,1,1,1,1,1,1,0,2,4,3,3,2,2,2,2,2,3,3,2,4,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
"46",94,24,6,270,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,5,5,2,1,60,10,10,40,1,1,1,0,1,4,5,5,4,3,3,2,100,0,0,0,4,4,4,3,5,5,5,3,3,3,3,2,2,3,3,3,3,2,5,3,3,3,4,4,4,3,4,4,3,3,3,1,0,0,0,1,1,1,1,0,0,0,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1974,2,5,1,1,3,18,2,2002,3,1,1997,4,0,2,NA,NA,1,1,1,0,1,1,1,1,1,1,0,1,3,NA,3,2,2,2,2,3,3,3,2,3,4,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1
"47",93,24,6,275,1,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010,5,5,2,NA,60,10,5,40,1,0,1,0,1,5,4,5,2,3,3,2,90,0,10,0,4,3,2,3,4,4,4,2,2,3,3,1,2,2,3,1,2,2,5,3,2,3,4,4,5,4,4,5,4,4,5,4,0,0,1,1,1,1,0,0,0,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1964,2,4,2,1,3,34,2,1988,4,1,NA,4,0,2,NA,NA,1,1,1,0,0,0,1,1,1,1,0,1,3,NA,3,3,2,2,2,3,3,3,2,3,4,1,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,1,1
"48",94,24,6,275,1,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010,5,4,2,NA,60,10,5,40,1,0,1,0,1,5,4,5,2,3,3,2,90,0,10,0,4,3,2,3,4,4,4,2,2,3,3,1,2,2,3,1,2,2,5,3,2,3,4,4,5,4,4,5,4,4,5,4,0,0,1,1,1,1,0,0,0,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1964,2,4,2,1,3,34,2,1988,4,1,NA,4,0,2,NA,NA,1,1,1,0,1,0,1,1,1,1,0,1,3,NA,3,3,2,2,2,3,3,3,2,3,4,1,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,1,1
"49",171,45,12,472,1,1,1,1,0,0,0,0,0,0,0,0,0,2013,2,3,2,0,7,10,18,60,1,0,1,1,1,4,4,4,4,3,2,2,80,0,10,10,4,5,4,4,4,4,4,3,2,3,3,2,2,2,2,2,2,2,5,3,3,2,4,5,5,3,4,4,2,3,3,2,0,0,0,1,1,1,0,0,0,0,1,1,1,0,4,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,NA,NA,5,1,1,1,3,30,63,0,0,3,3,1,1979,2,5,1,1,1,13,2,2013,9,1,2001,3,0,2,2001,9,1,1,1,0,0,0,0,0,1,1,0,2,4,5,4,2,3,2,2,4,5,5,5,5,5,1,1,0,0,0,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1
"50",170,45,12,475,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,2,2,2,0,7,12,16,42,1,1,1,0,1,4,2,3,3,1,1,1,60,NA,40,NA,4,4,4,3,3,4,3,2,2,3,3,2,2,3,3,1,1,1,4,1,2,3,4,3,4,3,3,4,3,3,4,4,0,0,1,1,1,1,0,0,0,1,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1965,2,6,1,1,3,27,NA,2001,8,1,NA,4,0,2,NA,NA,1,1,1,0,0,0,0,1,0,1,0,3,4,NA,4,1,2,2,2,3,3,3,3,3,4,0,1,1,0,0,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1
"51",170,45,12,479,1,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,2,4,1,1,13,8,15,40,1,1,1,1,1,4,4,4,4,4,1,1,50,NA,40,10,1,1,2,3,2,5,3,3,2,3,3,2,2,3,3,1,2,2,4,3,3,3,4,3,5,NA,NA,NA,NA,NA,NA,4,0,0,1,1,1,1,0,0,0,0,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1971,2,5,1,1,3,23,2,2006,8,1,2006,4,0,1,NA,NA,1,1,1,0,0,0,0,1,1,1,0,3,3,NA,2,3,2,2,2,3,3,3,3,4,4,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,1,1
"52",170,45,12,481,1,3,1,0,0,1,0,0,0,0,0,0,0,2013,2,3,1,0,6,6,10,60,1,1,0,0,1,5,4,4,5,4,2,2,90,NA,10,NA,4,4,4,3,4,4,4,1,3,3,3,2,2,2,3,1,3,2,5,3,2,1,5,4,4,4,3,4,3,3,4,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,4,0,1,1,0,1,0,0,1,NA,1,NA,1,NA,1,NA,1,NA,4,1,1,1,1,30,59,1,1,3,3,2,1983,2,5,1,1,3,7,2,2013,8,1,2007,2,0,2,2013,9,1,1,0,0,0,0,0,0,0,0,1,3,3,3,3,2,2,2,2,4,3,4,3,4,4,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1
"53",171,45,12,483,1,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,2,2,1,NA,6,6,16,60,1,1,1,0,1,4,3,4,5,1,2,1,80,NA,20,NA,5,5,5,5,5,5,5,4,3,3,3,NA,2,2,2,1,2,1,4,3,2,1,3,3,4,3,3,4,2,2,3,1,0,0,1,1,1,0,1,0,0,0,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1982,2,6,1,1,3,10,2,2008,8,1,2014,3,0,2,NA,NA,1,1,1,0,0,0,0,0,1,1,0,3,1,NA,4,3,2,2,2,2,2,4,3,4,3,0,1,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,1,1
"54",465,47,12,497,1,1,1,1,0,0,0,0,0,0,0,0,0,2014,1,3,2,1,20,10,15,40,1,1,1,1,0,4,4,4,4,2,3,2,65,NA,20,15,4,4,3,3,3,3,3,3,2,3,3,1,3,3,3,2,2,2,4,3,3,3,NA,NA,NA,4,4,4,NA,NA,NA,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,3,0,1,1,0,0,0,0,1,NA,1,NA,1,NA,1,NA,1,NA,4,1,1,1,1,30,54,1,NA,3,4,2,1979,2,6,1,1,3,11,1,2002,8,1,NA,3,0,2,2002,9,1,1,1,0,0,0,0,1,1,1,0,2,4,4,4,1,2,2,2,3,3,4,3,5,4,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,0,1,1
"55",466,47,12,498,1,1,1,1,0,0,0,0,0,0,0,0,0,2014,3,4,1,1,13,20,18,70,1,1,0,0,1,4,4,4,4,2,3,2,90,0,5,5,2,2,2,2,2,2,2,4,2,3,3,2,2,2,2,2,2,2,5,3,3,3,4,4,4,4,4,4,4,4,4,4,0,0,0,1,1,0,0,0,0,0,1,1,0,0,3,0,1,1,0,0,1,0,1,NA,1,NA,1,NA,1,NA,NA,NA,4,1,1,2,NA,50,55,0,0,3,5,1,1977,2,6,1,1,3,15,1,1999,9,1,1999,3,1,2,1999,9,1,1,1,0,0,0,1,1,1,1,0,1,4,4,4,2,2,2,2,3,3,3,4,3,3,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,1,0,1,1
"56",468,47,12,504,1,2,1,0,1,0,0,0,0,0,0,0,0,2014,3,3,2,1,20,10,15,40,1,1,1,1,0,4,4,4,4,3,3,3,70,NA,20,10,4,4,3,3,3,3,3,3,2,3,3,1,3,2,2,3,3,3,3,3,3,3,4,4,5,4,4,5,3,3,5,2,0,0,0,1,1,1,0,0,0,0,0,1,0,0,3,0,1,1,0,0,0,0,1,NA,1,NA,1,NA,1,NA,1,NA,3,1,1,1,1,30,55,1,NA,3,5,2,1982,2,6,1,1,3,10,2,2004,8,1,NA,2,0,2,2008,9,1,1,1,0,0,0,0,1,1,1,0,2,2,3,4,4,1,1,1,3,3,4,3,5,4,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,1,1
"57",467,47,12,506,1,3,1,0,0,1,0,0,0,0,0,0,0,2014,3,4,2,1,12,10,10,48,1,1,1,0,1,3,4,4,5,5,NA,NA,60,0,20,20,3,3,3,3,4,3,3,3,2,3,3,2,3,3,2,1,2,2,4,2,3,1,NA,NA,NA,4,4,4,NA,NA,NA,1,0,0,0,1,1,1,0,0,0,0,1,1,1,0,3,0,1,1,0,0,0,0,1,NA,1,NA,1,NA,1,NA,NA,NA,4,1,1,2,1,30,56,NA,NA,3,3,2,1973,2,5,2,1,3,21,2,2005,8,1,2005,3,0,2,1995,9,1,1,0,0,0,0,0,0,1,0,0,3,3,2,3,2,2,1,1,3,3,3,4,4,4,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,1,1,0,1,1
"58",471,47,12,507,1,3,1,0,0,1,0,0,0,0,0,0,0,2014,3,3,2,2,11,20,18,50,1,1,1,1,1,4,4,5,5,4,2,2,80,0,15,5,3,3,3,3,3,3,3,3,2,3,3,2,2,3,2,2,3,2,4,3,3,3,NA,NA,NA,4,5,5,NA,NA,NA,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,3,0,1,1,0,0,0,0,1,NA,1,NA,1,NA,1,NA,NA,NA,4,1,1,2,NA,30,53,1,2,3,4,2,1977,2,5,1,1,3,13,2,2007,8,1,2001,3,0,2,2001,9,1,1,1,0,0,0,0,0,1,1,0,3,3,3,4,3,2,2,2,4,4,4,4,5,4,0,1,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,0,1,1
"59",182,48,12,513,1,1,1,1,0,0,0,0,0,0,0,0,0,2013,2,3,1,0,7,14,14,40,1,1,1,1,1,2,3,4,4,3,2,3,20,0,10,70,5,4,4,5,5,5,5,5,3,3,3,3,2,3,3,2,3,2,5,3,3,3,4,5,5,4,4,4,3,3,2,2,0,0,1,1,1,0,0,0,0,1,1,1,0,0,3,1,1,1,0,0,0,0,1,NA,1,NA,1,NA,1,NA,NA,NA,4,1,1,2,2,0,35,1,6,3,3,1,1966,2,5,1,1,3,29,2,2002,8,1,1985,4,1,2,1986,9,1,1,1,0,0,0,0,0,1,1,0,1,3,2,4,3,2,2,2,3,4,4,2,3,4,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,1
